0.000000	-63.446232
0.002004	-63.433904
0.004008	-63.421638
0.006012	-63.409437
0.008016	-63.397303
0.010020	-63.385237
0.012024	-63.373242
0.014028	-63.361319
0.016032	-63.349470
0.018036	-63.337697
0.020040	-63.326001
0.022044	-63.314384
0.024048	-63.302847
0.026052	-63.291391
0.028056	-63.280019
0.030060	-63.268730
0.032064	-63.257526
0.034068	-63.246409
0.036072	-63.235379
0.038076	-63.224437
0.040080	-63.213584
0.042084	-63.202822
0.044088	-63.192150
0.046092	-63.181569
0.048096	-63.171080
0.050100	-63.160684
0.052104	-63.150381
0.054108	-63.140172
0.056112	-63.130057
0.058116	-63.120036
0.060120	-63.110109
0.062124	-63.100278
0.064128	-63.090542
0.066132	-63.080900
0.068136	-63.071355
0.070140	-63.061904
0.072144	-63.052549
0.074148	-63.043289
0.076152	-63.034124
0.078156	-63.025054
0.080160	-63.016078
0.082164	-63.007197
0.084168	-62.998411
0.086172	-62.989718
0.088176	-62.981119
0.090180	-62.972612
0.092184	-62.964198
0.094188	-62.955877
0.096192	-62.947646
0.098196	-62.939507
0.100200	-62.931458
0.102204	-62.923498
0.104208	-62.915627
0.106212	-62.907845
0.108216	-62.900150
0.110220	-62.892541
0.112224	-62.885018
0.114228	-62.877580
0.116232	-62.870226
0.118236	-62.862956
0.120240	-62.855767
0.122244	-62.848659
0.124248	-62.841632
0.126253	-62.834683
0.128257	-62.827813
0.130261	-62.821019
0.132265	-62.814301
0.134269	-62.807658
0.136273	-62.801089
0.138277	-62.794592
0.140281	-62.788165
0.142285	-62.781809
0.144289	-62.775522
0.146293	-62.769301
0.148297	-62.763147
0.150301	-62.757058
0.152305	-62.751032
0.154309	-62.745069
0.156313	-62.739166
0.158317	-62.733323
0.160321	-62.727538
0.162325	-62.721809
0.164329	-62.716136
0.166333	-62.710517
0.168337	-62.704950
0.170341	-62.699435
0.172345	-62.693969
0.174349	-62.688551
0.176353	-62.683180
0.178357	-62.677855
0.180361	-62.672573
0.182365	-62.667334
0.184369	-62.662135
0.186373	-62.656976
0.188377	-62.651856
0.190381	-62.646771
0.192385	-62.641722
0.194389	-62.636706
0.196393	-62.631722
0.198397	-62.626769
0.200401	-62.621845
0.202405	-62.616948
0.204409	-62.612078
0.206413	-62.607232
0.208417	-62.602410
0.210421	-62.597609
0.212425	-62.592828
0.214429	-62.588066
0.216433	-62.583322
0.218437	-62.578594
0.220441	-62.573880
0.222445	-62.569179
0.224449	-62.564490
0.226453	-62.559811
0.228457	-62.555140
0.230461	-62.550477
0.232465	-62.545821
0.234469	-62.541168
0.236473	-62.536520
0.238477	-62.531873
0.240481	-62.527226
0.242485	-62.522579
0.244489	-62.517930
0.246493	-62.513278
0.248497	-62.508621
0.250501	-62.503958
0.252505	-62.499288
0.254509	-62.494609
0.256513	-62.489921
0.258517	-62.485222
0.260521	-62.480511
0.262525	-62.475787
0.264529	-62.471049
0.266533	-62.466295
0.268537	-62.461525
0.270541	-62.456736
0.272545	-62.451929
0.274549	-62.447103
0.276553	-62.442255
0.278557	-62.437385
0.280561	-62.432493
0.282565	-62.427576
0.284569	-62.422635
0.286573	-62.417668
0.288577	-62.412674
0.290581	-62.407653
0.292585	-62.402603
0.294589	-62.397524
0.296593	-62.392414
0.298597	-62.387274
0.300601	-62.382101
0.302605	-62.376897
0.304609	-62.371659
0.306613	-62.366387
0.308617	-62.361080
0.310621	-62.355738
0.312625	-62.350360
0.314629	-62.344945
0.316633	-62.339493
0.318637	-62.334003
0.320641	-62.328475
0.322645	-62.322908
0.324649	-62.317302
0.326653	-62.311656
0.328657	-62.305970
0.330661	-62.300243
0.332665	-62.294475
0.334669	-62.288665
0.336673	-62.282814
0.338677	-62.276920
0.340681	-62.270985
0.342685	-62.265006
0.344689	-62.258985
0.346693	-62.252920
0.348697	-62.246812
0.350701	-62.240660
0.352705	-62.234465
0.354709	-62.228226
0.356713	-62.221944
0.358717	-62.215617
0.360721	-62.209246
0.362725	-62.202832
0.364729	-62.196373
0.366733	-62.189871
0.368737	-62.183324
0.370741	-62.176734
0.372745	-62.170100
0.374749	-62.163423
0.376754	-62.156702
0.378758	-62.149938
0.380762	-62.143132
0.382766	-62.136282
0.384770	-62.129390
0.386774	-62.122455
0.388778	-62.115479
0.390782	-62.108461
0.392786	-62.101402
0.394790	-62.094303
0.396794	-62.087162
0.398798	-62.079982
0.400802	-62.072762
0.402806	-62.065503
0.404810	-62.058206
0.406814	-62.050870
0.408818	-62.043497
0.410822	-62.036087
0.412826	-62.028640
0.414830	-62.021158
0.416834	-62.013640
0.418838	-62.006088
0.420842	-61.998502
0.422846	-61.990883
0.424850	-61.983231
0.426854	-61.975548
0.428858	-61.967833
0.430862	-61.960089
0.432866	-61.952314
0.434870	-61.944512
0.436874	-61.936681
0.438878	-61.928823
0.440882	-61.920939
0.442886	-61.913030
0.444890	-61.905097
0.446894	-61.897140
0.448898	-61.889161
0.450902	-61.881159
0.452906	-61.873138
0.454910	-61.865096
0.456914	-61.857036
0.458918	-61.848959
0.460922	-61.840864
0.462926	-61.832754
0.464930	-61.824630
0.466934	-61.816492
0.468938	-61.808342
0.470942	-61.800180
0.472946	-61.792008
0.474950	-61.783827
0.476954	-61.775638
0.478958	-61.767443
0.480962	-61.759241
0.482966	-61.751036
0.484970	-61.742826
0.486974	-61.734615
0.488978	-61.726403
0.490982	-61.718191
0.492986	-61.709981
0.494990	-61.701773
0.496994	-61.693569
0.498998	-61.685371
0.501002	-61.677179
0.503006	-61.668994
0.505010	-61.660819
0.507014	-61.652654
