0.017561	0.052682	-0.617561	0.923271
0.017796	0.053389	-0.617796	0.915289
0.018033	0.054100	-0.618033	0.907308
0.018271	0.054813	-0.618271	0.899329
0.018510	0.055530	-0.618510	0.891351
0.018750	0.056250	-0.618750	0.883374
0.018991	0.056973	-0.618991	0.875399
0.019233	0.057700	-0.619233	0.867426
0.019476	0.058429	-0.619477	0.859454
0.019721	0.059162	-0.619721	0.851483
0.019966	0.059898	-0.619966	0.843513
0.020212	0.060637	-0.620212	0.835545
0.020460	0.061379	-0.620460	0.827579
0.020708	0.062124	-0.620708	0.819613
0.020957	0.062872	-0.620957	0.811649
0.021208	0.063623	-0.621208	0.803686
0.021459	0.064376	-0.621459	0.795725
0.021711	0.065133	-0.621711	0.787765
0.021964	0.065893	-0.621964	0.779806
0.022218	0.066655	-0.622218	0.771848
0.022473	0.067420	-0.622473	0.763892
0.022729	0.068188	-0.622729	0.755937
0.022986	0.068959	-0.622986	0.747983
0.023244	0.069732	-0.623244	0.740030
0.023503	0.070508	-0.623503	0.732079
0.023762	0.071287	-0.623762	0.724128
0.024023	0.072069	-0.624023	0.716179
0.024284	0.072853	-0.624284	0.708231
0.024546	0.073639	-0.624546	0.700284
0.024809	0.074428	-0.624809	0.692339
0.025073	0.075220	-0.625073	0.684394
0.025338	0.076014	-0.625338	0.676451
0.025604	0.076811	-0.625604	0.668508
0.025870	0.077610	-0.625870	0.660567
0.026137	0.078411	-0.626137	0.652627
0.026405	0.079215	-0.626405	0.644688
0.026674	0.080021	-0.626674	0.636749
0.026943	0.080829	-0.626943	0.628812
0.027213	0.081640	-0.627213	0.620876
0.027484	0.082453	-0.627484	0.612941
0.027756	0.083268	-0.627756	0.605007
0.028029	0.084086	-0.628029	0.597074
0.028302	0.084905	-0.628302	0.589142
0.028576	0.085727	-0.628576	0.581211
0.028850	0.086551	-0.628850	0.573281
0.029126	0.087377	-0.629126	0.565351
0.029402	0.088205	-0.629402	0.557423
0.029678	0.089035	-0.629678	0.549495
0.029956	0.089867	-0.629956	0.541569
0.030234	0.090701	-0.630234	0.533643
